"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";Peso;Alto;Ancho;Profundidad;Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca
dalaila;Dalaila;Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;0;C5-002;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"violeta, lila, blanco, negro, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
stripes;Stripes;Collares;;;;;;;750.00;;0.00;0.00;0.00;0.00;1;CL3-003;;SI;NO;"<p>Collar de 1 cuenta de vidrio hueca y 2 macizas m&aacute;s otras peque&ntilde;as, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + cord&oacute;n de gamuza. Regulable.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal, o se da&ntilde;e el cord&oacute;n.<br />
Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"azul, rosa, Collar de vidrio, collar, largo, Glassbeads, soplado, bola hueca";;;
inclusive-li;"Inclusive Li";Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;1;C5-003;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"violeta, azul, lila, rosa, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
blue-special;"Blue Special";Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;1;C5-004;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"violeta, azul, plateado, negro, lila, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
blue-gamma;"Blue Gamma";Collares;;;;;;;750.00;;0.00;0.00;0.00;0.00;1;CL3-004;;SI;NO;"<p>Collar de 1 cuenta de vidrio hueca y 2 macizas, m&aacute;s otras peque&ntilde;as, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + cord&oacute;n de gamuza. Regulable.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal, o se da&ntilde;e el cord&oacute;n.<br />
Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"Collar de vidrio, collar, largo, azul, turquesa, celeste, Glassbeads, soplado, bola hueca";;;
verde-france;"Verde France";Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;1;C5-006;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"verde, azul, fluo, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
stanger;Stranger;Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;1;C5-007;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"negro, plateado, celeste, azul, Collar de vidrio, collar, Glassbeads, bola, combinado";;;GlassBeat
freedom-collar-de-vidrio-pieza-unica;"Freedom - Collar de vidrio - Pieza única";Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;0;2;;SI;NO;"Collar de 6 cuentas de vidrio hecho con la milenaria técnica de lampwork, también conocida como GlassBeads o perlas de Murano. (vidrio trabajado con soplete)<br><br>
Esta pieza fue diseñada y creada artesanalmente a partir de varillas de vidrio de diferentes colores, con soplete y mucho amor, por Marilina Rozenberg. <br><br>
Evitá exponer tus accesorios a líquidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal.<br>
Ciertos metales pueden desgastarse debido al contacto con químicos como el agua con cloro, o el agua de mar, la transpiración, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, después de haber tenido contacto con estas sustancias.
<br><br>
Materiales: vidrio, tanza con alma de acero y fornituras.";"Multicolor, Collar de vidrio, Accesorios de vidrio, accesorios, collar, Joyas de vidrio, Glassbeads, Lampwork";;;
metal-bubble;"metal Bubble";Collares;;;;;;;750.00;;0.00;0.00;0.00;0.00;0;CL3-001;;SI;NO;"<p>Collar de 1 cuenta de vidrio hueca y 2 macizas, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + cord&oacute;n de gamuza. Regulable.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal, o se da&ntilde;e el cord&oacute;n.<br />
Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"Collar de vidrio, collar, largo, Glassbeads, violeta, rosa, naranja, lila";;;
verdor;Verdor;Collares;;;;;;;750.00;;0.30;0.00;0.00;0.00;0;C5-010;;SI;NO;"<p>Collar de 5 cuentas de vidrio, hecho con la milenaria t&eacute;cnica de lampwork, tambi&eacute;n conocida como GlassBeads o perlas de Murano (vidrio trabajado con soplete)<br />
<br />
Materiales: Vidrio + Tanza con alma de acero + Fornituras + cadena de alargue.<br />
<br />
Evit&aacute; exponer tus accesorios a l&iacute;quidos. Si se mojan, asegurate de secarlos para evitar que se oxiden o se manche el metal. Ciertos metales pueden desgastarse debido al contacto con qu&iacute;micos como el agua con cloro, o el agua de mar, la transpiraci&oacute;n, el spray de pelo, perfumes y lociones. Se recomienda ponerse los accesorios, despu&eacute;s de haber tenido contacto con estas sustancias.</p>
";"verde, azul, turquesa, crema, Collar de vidrio, collar, Glassbeads, bola, combinado";;;
